Title,Author,Category,Description,Query,Published,Modified
High Severity Vulnerabilities - Qualys -,SplunkNinja,Qualys,The following Splunk query will show the percentage of high severity vulnerabilities within the Qualys Sourcetype: ,"'eventtype=""qualys_vm_detection_event"" |eval Success= if(SEVERITY &gt;3,1,0)|stats count as total sum(Success) as success|eval Per_high=(success/total)*100'",2016-12-15T14:51:54+00:00,
Top 25 Most Prevailing Vulnerabilities with Patches Available (Multiple OSs)- Qualys -,SplunkNinja,Qualys,The following Splunk Search Queries within the Qualys Sourcetype list the top 25 most prevailing vulnerabilities that have patches available. The queries are separated by Operating System or Device Type: Linux ,"'eventtype=qualys_vm_detection_event SEVERITY &gt; 3 STATUS=""ACTIVE"" | regex OS=""^((?!\\/).)*Linux((?!\\/).)*$"" | dedup HOST_ID QID | lookup qualys_kb_lookup QID OUTPUT TITLE SEVERITY VENDOR_REFERENCE | stats count by QID, TITLE, SEVERITY | sort 25 \u2013count', u'eventtype=qualys_vm_detection_event SEVERITY &gt; 3 STATUS=""ACTIVE"" | regex OS=""(F5 Networks Big-IP)|(^Cisco((?!\\/).)*$)|(Firewall)"" | dedup HOST_ID QID | lookup qualys_kb_lookup QID OUTPUT TITLE SEVERITY VENDOR_REFERENCE | stats count by QID, TITLE, SEVERITY | sort 25 \u2013count', u'eventtype=qualys_vm_detection_event SEVERITY &gt; 3 STATUS=""ACTIVE"" | regex OS=""^Windows (2000$|XP|7|8)((?!\\/).)*$"" | dedup HOST_ID QID | lookup qualys_kb_lookup QID OUTPUT TITLE SEVERITY VENDOR_REFERENCE | stats count by QID, TITLE, SEVERITY | sort 25 \u2013count', u'eventtype=qualys_vm_detection_event SEVERITY &gt; 3 STATUS=""ACTIVE"" | regex OS=""^Windows .*Server((?!\\/).)*$"" | dedup HOST_ID QID | lookup qualys_kb_lookup QID OUTPUT TITLE SEVERITY VENDOR_REFERENCE | stats count by QID, TITLE, SEVERITY | sort 25 \u2013count'",2016-12-15T14:58:31+00:00,2016-12-15T14:59:11+00:00
Remediation Tracking Trend - Qualys -,SplunkNinja,Qualys,The following Splunk query will help determine remediation tracking trends within the Qualys Sourcetype: ,"'eventtype=""qualys_vm_detection_event"" | stats count as eachCount |eval STATUS=""Total"" | table STATUS eachCount| append |search eventtype=""qualys_vm_detection_event""| stats count as eachCount by STATUS| eventstats sum(eachCount) as total | eval fixedPerc = ((eachCount/total)*100) | search STATUS=FIXED |table STATUS eachCount '",2016-12-15T14:54:03+00:00,2016-12-15T14:59:39+00:00
Top 25 Most Vulnerable Systems by OS - Qualys -,SplunkNinja,Qualys,The following Splunk Search Queries within the Qualys Sourcetype list the top 25 most vulnerable systems. The queries are separated by Operating System or Device Type: Linux ,"'eventtype=qualys_vm_detection_event SEVERITY &gt; 3 | regex OS=""^((?!\\/).)*Linux((?!\\/).)*$"" |dedup QID IP| stats count by IP | sort -count | head 25', u'eventtype=qualys_vm_detection_event SEVERITY &gt; 3 | regex OS=""(F5 Networks Big-IP)|(^Cisco((?!\\/).)*$)|(Firewall)"" |dedup QID IP| stats count by IP | sort -count | head 25', u'eventtype=qualys_vm_detection_event SEVERITY &gt; 3 | regex OS=""^Windows (2000$|XP|7|8)((?!\\/).)*$"" |dedup QID IP| stats count by IP | sort -count | head 25', u'eventtype=qualys_vm_detection_event SEVERITY &gt; 3 | regex OS=""^Windows .*Server((?!\\/).)*$"" |dedup QID IP| stats count by IP | sort -count | head 25'",2016-12-15T15:02:19+00:00,
Track Remediation Progress by OS - Qualys -,SplunkNinja,Qualys,The following Splunk Search Queries within the Qualys Sourcetype track the remediation progress for a variety of operating systems. The queries are separated by Operating System or Device Type: OS &amp; Device Agnostic ,"'eventtype=""qualys_vm_detection_event"" STATUS =""FIXED"" earliest=-30d@d | dedup HOST_ID, QID | stats count by QID', u'eventtype=qualys_vm_detection_event SEVERITY &gt; 3 | regex OS=""^((?!\\/).)*Linux((?!\\/).)*$"" |dedup QID IP| stats count by IP | sort -count | head 25', u'eventtype=qualys_vm_detection_event SEVERITY &gt; 3 | regex OS=""(F5 Networks Big-IP)|(^Cisco((?!\\/).)*$)|(Firewall)"" |dedup QID IP| stats count by IP | sort -count | head 25', u'eventtype=qualys_vm_detection_event SEVERITY &gt; 3 | regex OS=""^Windows (2000$|XP|7|8)((?!\\/).)*$"" |dedup QID IP| stats count by IP | sort -count | head 25', u'eventtype=qualys_vm_detection_event SEVERITY &gt; 3 | regex OS=""^Windows .*Server((?!\\/).)*$"" |dedup QID IP| stats count by IP | sort -count | head 25'",2016-12-15T15:05:31+00:00,
Potential Suspicious Activity in Windows -,john117,WinEventLog:Security,,"'sourcetype=""WinEventLog:Security"" EventCode=4688 NOT (Account_Name=*$) (arp.exe OR at.exe OR bcdedit.exe OR bcp.exe OR chcp.exe OR cmd.exe OR cscript.exe OR csvde OR dsquery.exe OR ipconfig.exe OR mimikatz.exe OR nbtstat.exe OR nc.exe OR netcat.exe OR netstat.exe OR nmap OR nslookup.exe OR netsh OR OSQL.exe OR ping.exe OR powershell.exe OR powercat.ps1 OR psexec.exe OR psexecsvc.exe OR psLoggedOn.exe OR procdump.exe OR qprocess.exe OR query.exe OR rar.exe OR reg.exe OR route.exe OR runas.exe OR rundll32 OR schtasks.exe OR sethc.exe OR sqlcmd.exe OR sc.exe OR ssh.exe OR sysprep.exe OR systeminfo.exe OR system32\\\\net.exe OR reg.exe OR tasklist.exe OR tracert.exe OR vssadmin.exe OR whoami.exe OR winrar.exe OR wscript.exe OR ""winrm.*"" OR ""winrs.*"" OR wmic.exe OR wsmprovhost.exe OR wusa.exe) | eval Message=split(Message,""."") | eval Short_Message=mvindex(Message,&lt;wbr /&gt;0) | table _time, host, Account_Name, Process_Name, Process_ID, Process_Command_Line, New_Process_Name, New_Process_ID, Creator_Process_ID, Short_Message'",2016-12-08T01:13:55+00:00,2016-12-15T15:32:21+00:00
Current Vulnerability Summary by Severity (tenable) -,Ronald (Access42),Tenable,"Having Tenable Security Center connected via the splunk plugin, this search gives an overview of all vulnerabilties, summarized by severity. ","'sourcetype=""tenable:sc:vuln"" severity.name=* | chart count over severity.name by ip'",2017-02-12T03:48:45+00:00,2017-02-12T03:50:39+00:00
Top exploitable vulnerabilities (tenable) -,Ronald (Access42),Tenable,To see the top of exploitable vulnarabilities from the Tenable Security Center: ,"'sourcetype=""tenable:sc:vuln"" exploitAvailable=""yes"" | chart count over pluginName by riskFactor'",2017-02-12T03:51:51+00:00,
Overall CVSS score (tenable) -,Ronald (Access42),Uncategorized,"Tenable uses the CVSS scoring method for detected vulnerabilities. To have an overall CVSS, use the following query: ","'sourcetype=""tenable:sc:vuln"" ip=* |stats mean(baseScore) as base | eval base = round(base,2)'",2017-02-12T03:51:18+00:00,2017-02-12T03:51:56+00:00
Top 10 most vulnerable systems (Tenable) -,Ronald (Access42),Tenable,Get an overview of the 10 most vulnerable systems in your network ,"'sourcetype=""tenable:sc:vuln"" baseScore &gt; 3 | dedup cve ip | stats count by ip, riskFactor | sort 10-count | lookup dnslookup clientip as ip | chart sum(count) by clienthost'",2017-02-13T20:39:34+00:00,
SSL Certificates expired -,Ronald (Access42),Tenable,The query below will give an overview of all hosts running expired certificates: ,"'sourcetype=""tenable:sc:vuln"" synopsis=""The remote server\'s SSL certificate has already expired."" | dedup ip | chart count by ip'",2017-02-13T20:39:49+00:00,
SSL certificates about to expire -,Ronald (Access42),Tenable,The query below will give an overview of all certificates about to expire (within 60 days) ,"'\xa0sourcetype=""tenable:sc:vuln"" synopsis=""The SSL certificate associated with the remote service will expire soon."" | dedup ip | lookup dnslookup clientip as ip | chart count by ip,clienthost'",2017-02-13T20:40:05+00:00,
Time Offset on Splunk Servers -,john117,REST,,"'| rest /services/server/info | eval updated_t=round(strptime(updated, ""%Y-%m-%dT%H:%M:%S%z""), 2) | eval delta=now()-updated_t | table serverName, updated, delta | convert ctime(updated_t)| rename updated as ""Local Time on Server on Request"" delta as ""Offset - Time in Seconds""'",2017-02-17T21:55:55+00:00,
Overview SMB Shares with unprivileged access (tenable) -,Ronald (Access42),Tenable,This search will give an overview of all SMB shares with unprivilged access. ,"'sourcetype=""tenable:sc:vuln"" pluginID=42411 | table ip dnsName pluginText | rename ""pluginText"" as ""Shares enabled"" | rename ""dnsName"" as ""DNS Name"" | rename ""ip"" as ""IP address""'",2017-02-24T15:34:50+00:00,
Detect ShellShock Attempts in Apache Logs -,mjeffery,apache,,"'sourcetype=""apache:access"" http_method=POST request=""*{ :;};*"" OR request=""*/bin/*""', u'| table _time, request, src_ip, dst_ip'",2017-03-01T02:51:59+00:00,
License Usage by Pool per hour for last 24 hours -,xoff00,_internal,Have a misbehaving License Pool that the admin swears he fixed this morning? ,"'index=_internal source=*license_usage.log* type=Usage earliest=-24h| bucket _time span=1h | stats sum(b) as bytes by _time, pool | eval GB = round(bytes/1024/1024/1024,5) | fields _time pool GB'",2017-03-16T19:37:31+00:00,
Use REST to gather Index Info -,ItsJohnLocke,REST,Here is some SPL to get useful information via REST on indexes within your Splunk environment: ,,2017-03-28T10:42:44+00:00,
User Info Dashboard - Using REST -,ItsJohnLocke,REST,I found this very useful user statistics/information splunk dashboard on www.function1.com/2016/06/rest-easy-with-the-splunk-rest-api. They have additional Splunk REST queries and examples worth checking out! ,,2017-03-30T09:56:03+00:00,
Overview of all medium to critical risks for Win20xx -,Ronald (Access42),Tenable,Get an overview of all medium to critical risks for Windows 2008 / 2012: Windows 2008: ,"'sourcetype=""tenable:sc:vuln"" cpe:/o:microsoft:windows_server_2008 \xa0| table ip, netbiosName, dnsName, severity.name, pluginName, solution, description | join ip type=inner max=0 search index=main sourcetype=""tenable:sc:vuln"" baseScore&gt;3 \xa0| table ip, netbiosName, dnsName, severity.name, pluginName, solution, description  | sort by severity.name | chart count by severity.name', u'sourcetype=""tenable:sc:vuln"" cpe:/o:microsoft:windows_server_2012 \xa0| table ip, netbiosName, dnsName, severity.name, pluginName, solution, description | join ip type=inner max=0 search index=main sourcetype=""tenable:sc:vuln"" baseScore&gt;3 \xa0| table ip, netbiosName, dnsName, severity.name, pluginName, solution, description  | sort by severity.name | chart count by severity.name'",2017-04-06T23:25:54+00:00,
Sysmon - Find Processes with Renamed Executables -,jwalzer,Uncategorized,,"'index=* sourcetype=""xmlwineventlog:microsoft-windows-sysmon/operational"" EventCode=1 | rex field=Image ""\\\\\\/(?&lt;filename&gt;^\\\\\\/*)$"" | eval filename=lower(filename)| stats dc(filename) as NumFilenames values(filename) as Filenames values(Image) as Images by Hashes | where NumFilenames&gt;1'",2017-07-02T02:49:13+00:00,
Sysmon - Outbound Connections by Process -,jwalzer,Uncategorized,,,2017-07-02T02:49:23+00:00,
Sysmon - cmd line for non -local connections -,jwalzer,Uncategorized,,,2017-07-02T02:49:32+00:00,
Extract DNS Queries from netscaler syslog -,Ronald (Access42),citrix:netscaler:syslog,To extract the DNS logging from netscaler:syslog you need the following regex: ^\\s+(?P&lt;date&gt;,"'\xa0index=network_netscaler sourcetype=""citrix:netscaler:syslog"" DNS | regex ""^\\s+(?P&lt;date&gt;^:+):(?P&lt;time&gt;^ +)(?:^:\\n*:){3}(?P&lt;source_ip&gt;^#+)(?:^/\\n*/){8}\\d+#(?P&lt;dns&gt;(?#)_a-zA-Z0-9.-+)(\\.\\/)"" | table time, date, source_ip, dns'",2017-07-06T01:54:45+00:00,
Find queues that are nearly full -,xoff00,_internal,Easily find Splunk Instances (both forwarders and full installs) that have queues that are over 80% full! ,"'index=_internal group=queue | eval percfull=((current_size_kb/max_size_kb)*100) | search percfull&gt;80 | dedup host, name | table _time host name current_size_kb max_size_kb'",2017-08-23T13:25:40+00:00,
Fishies! Fun Query and Easter Egg -,SplunkNinja,Fun Stuff &amp; Helpful Hints,Here is a fun query that you may have seen as an Easter egg in an app. I stumbled on this while cleaning up old saved searches. If you know the app comment below! &nbsp; FYI make sure you run this in real time otherwise you won&#8217;t see the fun part :) ,"'index=_* OR index=* | head 1 | eval fish=""&gt;&lt;((*&gt;"" | eval fishies=mvappend(fish,fish) | eval fishies=mvappend(fishies,fishies) | eval fishies=mvappend(fishies,fishies) | eval fishies=mvappend(fishies,fishies) | eval spawnify=fishies | mvexpand spawnify | eval fishies=mvjoin(fishies,"" "") | streamstats count as offset | eval offset=(offset*3) % 7 | addinfo | eval make_swim=round(info_max_time-info_search_time) | eval fishies=substr(fishies,(10*16)-(make_swim-offset+10),100+offset) | fields fishies | streamstats count | eval fishies=if(count==16,""FATAL ERROR: you have unleashed an army of fish."",fishies) | fields fishies | rename fishies as _raw | fields - _time | eval _raw=substr(_raw,0,100)'",2017-10-12T19:23:05+00:00,2017-10-12T19:27:32+00:00
Failed Attempts to Logon to Splunk Web -,SplunkNinja,_internal,The following Splunk Search Query will return all users who have failed to logon to the Splunk Web console. This query will also include an average (from eventstats). &nbsp; ,"'index=_audit action=""login attempt"" info=failed | timechart count(user) as Failed_Attempts| eventstats avg(Failed_Attempts) as Average'",2015-09-14T18:46:42+00:00,2017-10-13T15:28:17+00:00
Unable to get a search to work properly -,irishjd,RFQ - Request For Query,,"'| inputlookup flash_mi-000085-mw | lookup dnsLookup host as fqdn', u'| inputlookup flash_mi-000085-mw | lookup dnsLookup host as fqdn | search sourcetype=cisco:asa dest_ip=""xxx.xxx.0.0/16"" OR src_ip=""xxx.xxx.0.0/16"" AND ip', u'| inputlookup flash_mi-000085-mw | lookup dnsLookup host as fqdn | search sourcetype=cisco:asa dest_ip=""xxx.xxx.0.0/16"" OR src_ip=""xxx.xxx.0.0/16"" AND ip | where fqdn!="""" | table fqdn ip dest_ip src_ip'",2017-11-14T02:39:30+00:00,
Find passwords in User_Name field -,thall,eval,,"'\xa0source=WinEventLog:Security TaskCategory=Logon Keywords=""Audit Failure"" | eval password=if(match(User_Name, ""^(?=.*a-z)(?=.*A-Z)(?=.*0-9)(?=.*\\W)(?=.{10,})""), ""Yes"", ""No"") | stats count by password User_Name | search password=Yes'",2017-12-02T21:10:45+00:00,
Remove Z or T string from your Timestamp -,sahr.lebbie,eval,,,2018-01-03T02:25:33+00:00,
IIS: Indicators of XSS and SQLi attacks -,Ronald (Access42),IIS,"The following query show IoC for XSS and SQLi. The complete query is wrapped up since this site is not accepting it.\xa0The query should also include &#8220;OR javascript&#8221;, followed by &#8220;:alert&#8221;. ","'index=* sourcetype=""ms:iis:default"" NOT (""cookie.js"" OR ""script.js"" OR ""cookie-min.js"" OR ""RESET-COOKIE"" OR ""form.user-info-from-cookie"") AND (\u201c&amp;#\u201d OR ""script&gt;"" OR ""script%3E"" OR ""`"" OR ""cookie"" OR alert\\( OR ""&lt;/"" OR ""@@"" OR ""%40%40"" OR ""&lt;scr"" OR ""%3Cscr"" OR ""&lt;"" OR ""%3C%2F"" OR ""..%2F"" OR "".."" OR ""%2E%2E"") uri_query!=""-"" uri_query!=""utm_*""| table _time, clientip, status, uri_query | sort by _time desc'",2018-02-07T02:56:30+00:00,
IIS: 401 and 403 errors -,Ronald (Access42),IIS,"Get an overview of 401 and 403 errors, an increase might be an IoC. ","'&lt;code&gt;index=* sourcetype=""ms:iis:default"" sc_status=401 OR sc_status=403 |table _time, sc_status, sc_substatus, uri_path | timechart count by sc_status&lt;/code&gt;'",2018-02-07T02:56:36+00:00,
IIS: 404 errors -,Ronald (Access42),IIS,"Get an overview of all 404 errors, an increase might be an IoC ","'index=web_p sourcetype=""ms:iis:default"" status=404 | timechart count'",2018-02-07T02:56:54+00:00,
"IIS: Indicators of directory traversal, RFI and LFI -",Ronald (Access42),IIS,"The following shows IoC for directory traversal, RFI and LFI within IIS logging: ","'index=* sourcetype=""ms:iis:default""NOT (""cookie.js"" OR ""script.js"") AND (referer=""-"" OR referer="""") AND (uri_query=""*passwd*"" OR uri_query=""*cmd*"" OR uri_query=""*%00*"" OR uri_query=""*.txt*"")|table _time, clientip, status, uri_query'",2018-02-07T02:57:28+00:00,
Basic binary conversion for IPv4 Mask -,masdeeper,Hack,"Given an IP network address and it&#8217;s netmask represented under integer format, the bellow search will create a CIDR representation from the lookup without using built-in tools. &nbsp; ",,2018-03-10T05:32:18+00:00,
date_zone=local is bad -,masdeeper,Hygiene,"Impact: since there is no timezone, the logs will have the same timezone as the local user. Therefore in another timezone, the logs won&#8217;t have the same order. If no TZ is specified, perhaps we could hard code one. ","'|tstats count where index=* date_zone=local by index, sourcetype'",2018-03-10T05:32:39+00:00,
Parsing Military Time Zones -,masdeeper,Hygiene,,,2018-03-10T05:33:13+00:00,
"List skipped searches by name, reason -",masdeeper,splunkd,,'index=_internal sourcetype=scheduler\xa0savedsearch_name=* status=skipped | stats count by\xa0savedsearch_name reason',2018-03-10T05:35:57+00:00,
List of index available to your role -,masdeeper,splunkd,,'|tstats count WHERE index=* OR index=_ BY index',2018-03-10T05:36:37+00:00,
Detect Scheduler Running Twice a Search -,masdeeper,splunkd,There is a bug that make a search being executed 2 times or more. ,"'index=_internal sourcetype=scheduler scheduled_time=*\xa0savedsearch_name=* |stats count by\xa0scheduled_time,\xa0savedsearch_name | where count &gt; 1'",2018-03-10T05:35:02+00:00,2018-03-10T05:38:19+00:00
Top Offending SSH Failure by Source IP -,DaveyBoy,Monitoring,,,2018-04-24T02:29:22+00:00,
Easter egg that created sample data -,Azeemering,Fun Stuff &amp; Helpful Hints,,'\xa0| windbag',2018-04-27T02:26:42+00:00,
Compare Successful Internal Vs External Connections -,DaveyBoy,Monitoring,This query will display a bar chart of all successful Internal vs External SSH connections. Useful for identifying any spikes in connectivity coming from within your network remit or outside of it. Simply change the CIDR matches to match your required LANs. ,,2018-04-27T02:27:40+00:00,
Detect Username Guessing Brute Force Attacks -,DaveyBoy,Monitoring,,,2018-04-27T02:28:17+00:00,
Search for all errors in splunkd -,Azeemering,_internal,,,2018-05-16T01:40:46+00:00,2018-05-16T01:41:02+00:00
Search for duplicate events in Splunk -,Azeemering,Hygiene,,'index=&lt;indexname&gt; | stats count values(host) values(source) values(sourcetype) values(index) by _raw | WHERE count&gt;1',2018-05-16T01:41:30+00:00,
Search Traffic by Source IP -,pradeep577,datamodels,"GoSplunk Admin Notes: If you have a data model enabled that matches the search below, this might work for you! ","'| datamodel Network_Traffic All_Traffic search | search All_Traffic.src_ip=10.x.x.x\xa0| stats count by All_Traffic.src_ip, All_Traffic.dest,All_Traffic.action, dstcountry | dedup All_Traffic.dest'",2018-06-19T19:00:28+00:00,
Average Search Duration -,ItsJohnLocke,_internal,,"'index=_audit sourcetype=audittrail action=search total_run_time=* host=* | dedup search_id | eval runtime=if(isnum(total_run_time), total_run_time, ""null"") | where runtime!=""null"" | timechart span=15m avg(runtime) as ""Average Run Time"" by host limit=0'",2018-06-28T12:28:31+00:00,
Find success login after 10 failures with streamstats -,iv.shamanow,datamodels,If you have the Authentication data model configured you can use the following search to quickly find successful logins after 10 failed attempts! ,,2018-07-05T19:41:22+00:00,
List all fields for an index -,Azeemering,Fun Stuff &amp; Helpful Hints,A few different queries / methods to list all fields for indexes. ,"'index=yourindex| fieldsummary | table field', u'index=yourindex | stats values(*)\xa0AS\xa0*\xa0|\xa0transpose\xa0|\xa0table column\xa0|\xa0rename column AS\xa0Fieldnames', u'index=yourindex | stats dc() as * | transpose', u'index=yourindex | table *'",2018-07-17T22:38:24+00:00,
Direct and Referred Apache Web Traffic -,SplunkNinja,apache,"The following query will show all traffic to an Apache web server that is direct, meaning no referring site. ","'sourcetype=""access_combined"" referer=""-"" | stats count', u'sourcetype=""access_combined"" referer!=""-"" | stats count', u'sourcetype=""access_combined"" referer=""-"" | timechart span=1d count'",2018-07-20T19:47:55+00:00,
Apache High Level Visitor Info -,SplunkNinja,apache,The following query gives a breakdown on traffic by clientip. I run this over all time so I can get detailed information on first visit versus latest visit as you can see below. ,'| inputlookup historical_client_insight.csv',2018-07-21T21:44:38+00:00,
Add a count of events by fieldname -,Azeemering,Fun Stuff &amp; Helpful Hints,The streamstats count command creates a field called eventCount that displays the amount of events from the fieldname you specify: ,'| streamstats count as eventCount by fieldname',2018-07-24T17:40:50+00:00,
Active Directory Password change attempts -,Azeemering,WinEventLog:Security,Use the following search to create a stacked barchart of AD Password change attempts: ,"'source=""WinEventLog:Security"" ""EventCode=4723"" src_user!=""*$"" src_user!=""_svc_*"" | eval daynumber=strftime(_time,""%Y-%m-%d"") | chart count by daynumber, status | eval daynumber = mvindex(split(daynumber,""-""),2)'",2018-07-24T17:42:57+00:00,
Timechart of the status of an Locked Out Account -,Azeemering,WinEventLog:Security,This query will show a timechart of the status of an Locked Out Account ,"'sourcetype=""WinEventLog:Security"" EventCode=4625 AND Status=0xC0000234 | timechart count by user | sort -count'",2018-07-24T17:45:06+00:00,
Universal Forwarder Throughput Statistics -,Azeemering,_internal,This search creates a table to list all\xa0 Universal Forwarders. There is also an eval in there that classifies hosts based on their average Kbps. You can modify this as needed. ,,2018-07-24T20:08:32+00:00,
Top 10 Accessed Dashboards -,Azeemering,_internal,"Where &#8220;host=&#8221;your_sh_host&#8221;&#8221; you could specify a host, or put a wildcard * in place. ",,2018-07-24T21:02:50+00:00,
Universal Forwarder Throughput Limit Hit Count -,Azeemering,_internal,This search counts the amount of times the UF&#8217;s throughput limit is hit. I also threw in a sparkline: ,"'index=_internal sourcetype=splunkd ""current data throughput"" | rex ""Current data throughput \\((?&lt;kb&gt;\\S+)"" | eval rate=case(kb &lt; 500, ""256"", kb &gt; 499 AND kb &lt; 520, ""512"", kb &gt; 520 AND kb &lt; 770 ,""768"", kb&gt;771 AND kb&lt;1210, ""1024"", 1=1, ""&gt;1024"") | stats count as Count sparkline as Trend by host, rate | where Count &gt; 4 | rename host as ""Host"" rate as ""Throughput rate(kb)"" count as ""Hit Count""| sort -""Throughput rate(kb)"",-Count'",2018-07-24T21:05:07+00:00,
Show all Indexes and Sourcetypes via REST -,ItsJohnLocke,REST,The following Splunk query uses REST to display non internal indexes associated with sourcetypes. It is my understanding that this is all time (such is the way of REST searches) ,,2018-07-25T11:50:18+00:00,
Forwarder Diagnostics - Last time Data Was Received by Index and Sourcetype -,SplunkNinja,_internal,,,2016-06-17T19:09:56+00:00,2018-07-25T20:58:08+00:00
Memory Usage (MB) per Splunk Process Class -,Azeemering,_internal,Use the following search with a\xa0column chart visualisation. It will give you a good overview of what Splunk processes use the most memory: ,"'index=_introspection sourcetype=splunk_resource_usage component=PerProcess host=* | eval process = \'data.process\' | eval args = \'data.args\' | eval sid = \'data.search_props.sid\' | eval elapsed = \'data.elapsed\' | eval mem_used = \'data.mem_used\' | eval mem = \'data.mem\' | eval pct_memory = \'data.pct_memory\' | eval app = \'data.search_props.app\' | eval type = \'data.search_props.type\' | eval mode = \'data.search_props.mode\' | eval user = \'data.search_props.user\' | eval role = \'data.search_props.role\' | eval process_class = case( process==""splunk-optimize"",""index service"", process==""sh"" OR process==""ksh"" OR process==""bash"" OR like(process,""python%"") OR process==""powershell"",""scripted input"", process==""mongod"", ""KVStore"") | eval process_class = case( process==""splunkd"" AND (like(args,""-p %start%"") OR like(args,""service"")),""splunkd server"", process==""splunkd"" AND isnotnull(sid),""search"", process==""splunkd"" AND (like(args,""fsck%"") OR like(args,""recover-metadata%"") OR like(args,""cluster_thing"")),""index service"", process==""splunkd"" AND args==""instrument-resource-usage"", ""scripted input"", (like(process,""python%"") AND like(args,""%/appserver/mrsparkle/root.py%"")) OR like(process,""splunkweb""),""Splunk Web"", isnotnull(process_class), process_class) | eval process_class = if(isnull(process_class),""other"",process_class) | stats latest(data.mem_used) AS resource_usage_dedup latest(process_class) AS process_class by data.pid, _time | stats sum(resource_usage_dedup) AS resource_usage by _time, process_class | timechart minspan=10s median(resource_usage) AS ""Resource Usage"" by process_class', u''",2018-07-26T11:28:34+00:00,
Bucket Count by indexer/index -,Azeemering,_internal,This search displays the amount of buckets per indexer/index To learn more about the | dbinspect command go to: http://docs.splunk.com/Documentation/Splunk/7.1.2/SearchReference/Dbinspect ,'|dbinspect index=* | search index!=_* | chart dc(bucketId) over splunk_server by index',2018-07-26T12:17:00+00:00,
Bucket Count by State over Index -,Azeemering,_internal,This search counts the amount of buckets per state for each index. To learn more about | dbinspect go to: http://docs.splunk.com/Documentation/Splunk/7.1.2/SearchReference/Dbinspect ,"'|dbinspect index=* | eval state=case(state==""warm"" OR state==""hot"",""hot/warm"",1=1, state) | chart dc(bucketId) over index by state'",2018-07-26T12:12:49+00:00,2018-07-26T12:17:21+00:00
Show Splunk User to Role mapping -,SplunkNinja,REST,"The following Splunk REST query shows all roles, number of\xa0 capabilities, and landing app for each user. ",,2018-07-27T01:11:26+00:00,2018-07-27T01:24:57+00:00
Retention Period in days per index -,Azeemering,REST,This query will give you a table of all indexes and their respective retention period in days: ,,2018-07-31T06:35:10+00:00,
Percentage of skipped searches -,Azeemering,_internal,This query will give you a table with a percentage of skipped searches and an evaluation with 3 ranges ,"'index=_internal sourcetype=scheduler | stats count as total, count(eval(status=""skipped"")) as skipped | eval pct=round(skipped/total * 100, 0) | rangemap field=pct low=0-10, elevated=10-20 severe=20-100 | eval pct = pct . ""%"" | fields pct, range'",2018-07-31T07:31:35+00:00,2018-07-31T07:32:22+00:00
Show indexing queue sizes -,Azeemering,_internal,Use a linechart with this search to show you the indexing queue sizes: ,'index=_internal source=*metrics.log group=queue (name=parsingqueue OR name=indexqueue OR name=typingqueue OR name=aggqueue) | timechart avg(current_size) by name',2018-07-31T07:40:45+00:00,2018-07-31T07:42:15+00:00
Saved Search Scheduler Activity -,Azeemering,_internal,"I use this query a lot to tune and adjust scheduling, find out what searches need attention: ","'index=_internal sourcetype=scheduler result_count | extract pairdelim="","", kvdelim=""="", auto=f | stats avg(result_count) min(result_count) max(result_count), sparkline avg(run_time) min(run_time) max(run_time) sum(run_time) values(host) AS hosts count AS execution_count by savedsearch_name, app | join savedsearch_name type=outer | rest /servicesNS/-/-/saved/searches | fields title eai:acl.owner cron_schedule dispatch.earliest_time dispatch.latest_time search | rename title AS savedsearch_name eai:acl.app AS App eai:acl.owner AS Owner cron_schedule AS ""Cron Schedule"" dispatch.earliest_time AS ""Dispatch Earliest Time"" dispatch.latest_time AS ""Dispatch Latest Time""| rename savedsearch_name AS ""Saved Search Name"" search AS ""SPL Query"" app AS App | makemv delim="","" values(host) | sort - avg(run_time) | table ""Saved Search Name"", App, Owner, ""SPL Query"", ""Dispatch Earliest Time"" ""Dispatch Latest Time"" ""Cron Schedule"" hosts, execution_count, sparkline, *(result_count), sum(run_time) *(run_time)'",2018-07-31T11:01:18+00:00,
Indexes in Splunk -,wrangler2x,REST,,,2018-08-01T01:15:12+00:00,
License Usage Prediction -,ItsJohnLocke,_internal,"There is an older Splunk query here that had previously predicted license usage. I&#8217;m not sure why (perhaps the predict command has changed since the original post in 2015?), but the query is no longer working. I&#8217;ve updated the query to predict Splunk license usage using the Splunk predict command as shown below: ",,2018-08-02T12:24:14+00:00,
Windows security daily domain activities -,ddanielnp,WinEventLog:Security,,,2018-08-16T18:45:03+00:00,
count all events for 1 or multiple index(es) -,sedi,Monitoring,Total count of all events for 1 or more index(es) Approach 1 (fastest) ,"'| eventcount index=foo', u'| eventcount index=foo index=bar', u'| tstats count where index=foo OR index=bar by span=1d _time index'",2018-08-18T13:58:02+00:00,
Concurrent Users on Apache Web -,SplunkNinja,apache,I&#8217;ve been working through this query and depending on the length of time you are looking back you can use one of the following two methods. Option 1 &#8211; Short time window (30 days or less) concurrent users for a span of 5 minutes. ,,2018-07-13T16:50:03+00:00,2018-08-18T18:01:11+00:00
List forwarders generating socket errors due to unkown SSL protocol -,wrangler2x,_internal,,,2018-08-21T21:19:30+00:00,2018-08-22T01:41:15+00:00
"identify knowledge objects, permissions and extractions -",sedi,Uncategorized,,,2018-08-31T17:49:47+00:00,
